X,Y,id,icon_url
17.6768458916071,40.7595758683811,,./0.png
18.0717278079087,40.078066695548,,./0.png
17.7826915897448,40.298332831686,,./0.png
17.7901348958151,40.2966702117245,,./0.png
17.7913025172354,40.296410648518,,./0.png
17.8053422122809,40.2895365826213,,./0.png
17.8051356676545,40.2919251762604,,./0.png
17.806535420028,40.2928240788341,,./0.png
17.8097186562977,40.2918640595008,,./0.png
17.8136697489334,40.2896439204501,,./0.png
17.8127952563156,40.2909321369212,,./0.png
17.772009575302,40.3004343871165,,./0.png
17.7930419459665,40.2925435224998,,./0.png
17.9316674981226,40.5109039430544,,./0.png
17.7128684674047,40.7177400539966,,./0.png
17.9354144382284,40.5155740180036,,./0.png
18.0811982493854,40.3383642680733,,./0.png
17.6913436026782,40.3178123331929,,./0.png
17.7135036993086,40.7176478066882,,./0.png
18.0505777028398,40.2164500089678,,./0.png
