X,Y,Desc_Punto,icon_url
17.441836075942,40.4612944802831,Invaso Pappadai,
17.4329017249445,40.4590017428297,Impianto di sollevamento,./0.png
17.4287309366162,40.4539835089392,Torrino terminale III Lotto Sinni,
17.9674050500326,40.19393034804,,
